"","Espece","Age","Aile","Masse","Annee"
"261","DUSA","HY",107,56.3,1
"262","DUSA","HY",115,59.7,1
"263","JABO","HY",113,50.5,1
"264","DUSA","AHY",114,56.2,1
"265","DUSA","AHY",110,50.7,1
"266","DUSA","AHY",123,64.6,1
"267","DUSA","AHY",115,54,1
"268","DUSA","AHY",117,56,1
"269","DUSA","AHY",113,57.7,1
"270","DUSA","AHY",112,61,1
"271","DUSA","AHY",119,67.4,1
"272","DUSA","HY",114,58.3,1
"273","DUSA","HY",107,46.2,1
"274","DUSA","AHY",122,67.7,1
"275","DUSA","HY",108,52.7,1
"276","DUSA","AHY",111,47.2,1
"277","DUSA","HY",111,56.6,1
"278","JABO","AHY",114,47,1
"279","DUSA","AHY",115,54.1,1
"280","DUSA","HY",106,47.7,1
"281","DUSA","AHY",117,52.7,1
"282","DUSA","AHY",118,58.7,1
"283","DUSA","AHY",111,53.6,1
"284","DUSA","AHY",119,66,1
"285","DUSA","HY",113,45.5,1
"286","DUSA","HY",112,58.4,1
"287","DUSA","AHY",115,55.8,1
"288","DUSA","HY",108,48.4,1
"289","DUSA","AHY",116,55.3,1
"290","DUSA","AHY",109,59.1,1
"291","DUSA","AHY",114,52.2,1
"292","JABO","AHY",114,52.8,1
"293","DUSA","HY",117,57.5,1
"294","DUSA","AHY",109,51,1
"295","DUSA","AHY",112,59.9,1
"296","DUSA","AHY",117,56.3,1
"297","DUSA","HY",114,55.6,1
"298","DUSA","AHY",110,56.6,1
"299","JABO","AHY",114,51.9,1
"300","DUSA","HY",119,64,1
"301","DUSA","AHY",114,61.5,1
"302","DUSA","AHY",116,57.6,1
"303","DUSA","HY",109,54.5,1
"304","DUSA","HY",114,53.7,1
"305","DUSA","AHY",116,56.6,1
"306","DUSA","HY",107,58.4,1
"307","DUSA","HY",107,56,1
"308","DUSA","AHY",113,54.1,1
"309","TAPI","HY",68,12.5,1
"310","DUSA","HY",113,65.7,1
"311","DUSA","AHY",111,51.4,1
"312","JABO","AHY",109,48.3,1
"313","JABO","AHY",118,54.4,1
"314","DUSA","AHY",108,54.8,1
"315","DUSA","AHY",114,53,1
"316","DUSA","HY",112,50.4,1
"317","DUSA","HY",109,57,1
"318","DUSA","HY",112,55.7,1
"319","DUSA","HY",115,55.5,1
"320","DUSA","HY",114,64.5,1
"321","DUSA","AHY",118,60.8,1
"322","DUSA","HY",117,64.5,1
"323","DUSA","AHY",109,51.5,1
"324","DUSA","AHY",114,62.4,1
"325","DUSA","HY",115,56.7,1
"326","DUSA","AHY",118,63.5,1
"327","DUSA","AHY",114,54.2,1
"328","DUSA","AHY",109,48.9,1
"329","DUSA","HY",113,60,1
"330","DUSA","AHY",108,60.8,1
"331","DUSA","AHY",117,65.9,1
"332","DUSA","AHY",113,56.8,1
"333","DUSA","AHY",108,53.3,1
"334","DUSA","HY",118,60.7,1
"335","DUSA","AHY",115,60.4,1
"336","DUSA","AHY",112,54.4,1
"337","DUSA","HY",115,57.4,1
"338","JABO","HY",108,52.7,1
"339","JABO","AHY",104,49.9,1
"340","DUSA","AHY",112,53.9,1
"341","DUSA","AHY",113,53.6,1
"342","DUSA","HY",115,60.3,1
"343","DUSA","AHY",112,60.8,1
"344","DUSA","HY",111,54,1
"345","DUSA","AHY",114,54,1
"346","DUSA","AHY",116,60.1,1
"347","DUSA","AHY",112,55.6,1
"348","DUSA","HY",114,63,1
"349","DUSA","HY",116,61.2,1
"350","JABO","HY",113,47.6,1
"351","SIFL","HY",73,14,1
"352","SIFL","AHY",77,16.3,1
"353","DUSA","AHY",111,60.6,1
"354","DUSA","AHY",117,53.7,1
"355","DUSA","AHY",116,57.1,1
"356","DUSA","AHY",115,62.8,1
"357","DUSA","AHY",114,50.9,1
"358","DUSA","AHY",114,54.3,1
"359","DUSA","AHY",116,59.7,1
"360","DUSA","AHY",116,56.1,1
"361","DUSA","AHY",115,61.3,1
"362","DUSA","HY",116,54,1
"363","DUSA","HY",113,59.9,1
"364","DUSA","AHY",114,59.6,1
"365","DUSA","AHY",114,70.7,1
"366","DUSA","HY",116,60.5,1
"367","DUSA","HY",107,52.9,1
"368","DUSA","AHY",114,58.8,1
"369","SIFL","AHY",83,15.9,1
"370","SIFL","HY",74,13.5,1
"371","SIFL","AHY",73,12.7,1
"372","SIFL","HY",76,13.5,1
"373","SIFL","AHY",74,14.5,1
"374","SIFL","AHY",75,17.9,1
"375","SIFL","AHY",73,13.1,1
"376","SIFL","HY",69,14.1,1
"377","SIFL","AHY",72,12.8,1
"378","SIFL","AHY",71,12.8,1
"379","SIFL","AHY",74,14.4,1
"380","SIFL","AHY",77,16.3,1
"381","SIFL","HY",74,13.7,1
"382","SIFL","AHY",77,14.7,1
"383","SIFL","AHY",73,14.6,1
"384","DUSA","AHY",113,59.7,1
"385","DUSA","AHY",115,53.9,1
"386","DUSA","HY",112,54.7,1
"387","DUSA","AHY",113,54.7,1
"388","DUSA","AHY",105,49.1,1
"389","DUSA","AHY",114,57.3,1
"390","DUSA","AHY",113,61.6,1
"391","SIFL","AHY",78,17.8,1
"392","SIFL","AHY",76,14.3,1
"393","SIFL","AHY",79,18,1
"394","SIFL","AHY",69,13.6,1
"395","SIFL","AHY",67,11,1
"396","SIFL","HY",68,13.4,1
"397","SIFL","HY",73,11.7,1
"398","SIFL","HY",70,11.7,1
"399","SIFL","AHY",82,15.7,1
"400","TAPI","HY",70,12.9,1
"401","DUSA","HY",116,61.4,1
"402","DUSA","AHY",116,58.3,1
"403","SIFL","AHY",74,13.4,1
"404","SIFL","HY",77,13.9,1
"405","SIFL","AHY",74,13.9,1
"406","SIFL","HY",73,13,1
"407","SIFL","AHY",72,12.5,1
"408","SIFL","AHY",72,12,1
"409","SIFL","HY",71,11.4,1
"410","SIFL","AHY",72,13,1
"411","SIFL","AHY",73,13.2,1
"412","SIFL","AHY",73,14.8,1
"413","DUSA","HY",112,61.7,1
"414","DUSA","AHY",117,62,1
"415","DUSA","AHY",114,51.9,1
"416","DUSA","HY",112,69.3,1
"417","DUSA","AHY",122,66.1,1
"418","DUSA","AHY",114,61.5,1
"419","DUSA","AHY",120,62.7,1
"420","DUSA","AHY",115,56.3,1
"421","DUSA","AHY",113,57.9,1
"422","DUSA","AHY",118,71.8,1
"423","DUSA","AHY",117,66.9,1
"424","DUSA","AHY",114,49.6,1
"425","DUSA","HY",109,52.1,1
"426","DUSA","HY",113,59.8,1
"427","DUSA","HY",112,55.4,1
"428","DUSA","HY",115,58.2,1
"429","DUSA","HY",117,55.6,1
"430","DUSA","HY",114,54.4,1
"431","DUSA","HY",113,51.5,1
"432","DUSA","AHY",116,60.1,1
"433","DUSA","HY",114,58.5,1
"434","DUSA","AHY",113,56,1
"435","DUSA","HY",113,55,1
"436","SIFL","AHY",72,13.2,1
"437","SIFL","HY",73,12,1
"438","SIFL","HY",70,12.6,1
"439","SIFL","AHY",74,13.1,1
"440","SIFL","AHY",68,11.2,1
"441","SIFL","HY",75,17.5,1
"442","SIFL","HY",75,13.2,1
"443","SIFL","HY",69,11,1
"444","SIFL","AHY",77,13.9,1
"445","SIFL","AHY",74,14.1,1
"446","SIFL","HY",69,11,1
"447","SIFL","AHY",74,12.5,1
"448","SIFL","AHY",69,13.6,1
"449","SIFL","HY",70,13,1
"450","SIFL","AHY",72,NA,1
"451","SIFL","HY",62,11.8,1
"452","SIFL","AHY",70,12.6,1
"453","SIFL","AHY",74,13.3,1
"454","TAPI","HY",70,13.2,2
"455","TAPI","HY",70,13.5,2
"456","TAPI","HY",73,12.7,2
"457","TAPI","AHY",73,12.7,2
"458","TAPI","AHY",72,12.3,2
"459","TAPI","AHY",73,12.9,2
"460","TAPI","AHY",72,11.6,2
"461","TAPI","AHY",71,13.1,2
"462","TAPI","AHY",75,13,2
"463","TAPI","AHY",76,12.1,2
"464","TAPI","AHY",71,13.3,2
"465","TAPI","AHY",73,14.7,2
"466","TAPI","HY",75,13.7,2
"467","TAPI","AHY",73,13.2,2
"468","TAPI","HY",72,12.9,2
"469","TAPI","HY",70,11.5,2
"470","TAPI","AHY",75,13,2
"471","TAPI","AHY",75,12.7,2
"472","TAPI","AHY",73,12.7,2
"473","TAPI","AHY",71,13,2
"474","TAPI","AHY",74,12.1,2
"475","TAPI","AHY",75,13.7,2
"476","TAPI","HY",74,13.1,2
"477","TAPI","AHY",76,13.1,2
"478","TAPI","AHY",73,13.2,2
"479","TAPI","AHY",70,13.6,2
"480","TAPI","HY",71,13.7,2
"481","TAPI","HY",74,13.9,2
"482","TAPI","AHY",70,12.6,2
"483","TAPI","HY",70,12,2
"484","TAPI","AHY",73,12.4,2
"485","TAPI","HY",71,13.5,2
"486","TAPI","HY",70,12.6,2
"487","TAPI","HY",70,12.5,2
"488","TAPI","HY",75,12.3,2
"489","TAPI","HY",70,11.3,2
"490","TAPI","AHY",71,12.9,2
"491","TAPI","HY",70,13.1,2
"492","TAPI","AHY",73,11.6,2
"493","TAPI","AHY",70,12.7,2
"494","TAPI","AHY",74,13.6,2
"495","TAPI","AHY",71,13.8,2
"496","TAPI","HY",71,12.7,2
"497","TAPI","HY",72,12.5,2
"498","TAPI","HY",69,12.7,2
"499","TAPI","AHY",70,12.7,2
"500","TAPI","HY",71,12.7,2
"501","TAPI","AHY",73,13.9,2
"502","TAPI","AHY",73,12,2
"503","TAPI","AHY",70,12.6,2
"504","TAPI","AHY",74,12.8,2
"505","TAPI","AHY",71,12.4,2
"506","TAPI","AHY",72,12.7,2
"507","TAPI","HY",71,12.2,2
"508","TAPI","AHY",74,13,2
"509","TAPI","HY",72,15.1,2
"510","TAPI","HY",73,12.8,2
"511","TAPI","HY",72,13.3,2
"512","TAPI","HY",69,13.6,2
"513","TAPI","HY",68,12.5,2
"514","TAPI","AHY",75,12.7,2
"515","TAPI","AHY",70,12.1,2
"516","TAPI","HY",69,14.1,2
"517","TAPI","HY",72,13.8,2
"518","TAPI","AHY",72,14.1,2
"519","TAPI","AHY",69,14.1,2
"520","TAPI","AHY",70,13.5,2
"521","TAPI","HY",74,13.2,2
"522","TAPI","AHY",71,13.4,2
"523","TAPI","HY",69,12.8,2
"524","TAPI","AHY",68,12.6,2
"525","TAPI","HY",71,12.5,2
"526","TAPI","HY",72,14.1,2
"527","TAPI","HY",69,13.1,2
"528","TAPI","HY",67,12.1,2
"529","TAPI","HY",68,14,2
"530","TAPI","HY",72,12.4,2
"531","TAPI","HY",69,13.5,2
"532","TAPI","HY",69,12.2,2
"533","TAPI","HY",76,13.5,2
"534","TAPI","AHY",70,11.7,2
"535","TAPI","AHY",72,12.6,2
"536","TAPI","HY",72,13.2,2
"537","TAPI","HY",70,13.4,2
"538","TAPI","HY",71,12.6,2
"539","TAPI","HY",70,13,2
